From	To
FIBB_HUMAN	FGB
SFTA1_HUMAN	SFTPA1
CATK_HUMAN	CTSK
ELNE_HUMAN	ELANE
HV270_HUMAN	IGHV2-70
KVD20_HUMAN	IGKV3D-20
CO4B_HUMAN	C4B
CO4B_HUMAN	C4B_2
LRC19_HUMAN	LRRC19
KV230_HUMAN	IGKV2-30
RAB7A_HUMAN	RAB7A
MSRE_HUMAN	MSR1
KVD28_HUMAN	IGKV2D-28
TRAF6_HUMAN	TRAF6
C1QB_HUMAN	C1QB
PROP_HUMAN	CFP
AA1R_HUMAN	ADORA1
SCRB1_HUMAN	SCARB1
CRP_HUMAN	CRP
PLPL9_HUMAN	PLA2G6
CH60_HUMAN	HSPD1
MYO1G_HUMAN	MYO1G
LV151_HUMAN	IGLV1-51
UBC_HUMAN	UBC
LV327_HUMAN	IGLV3-27
CR2_HUMAN	CR2
CD47_HUMAN	CD47
FGR_HUMAN	FGR
SRPX_HUMAN	SRPX
CO4A_HUMAN	C4A
AA2AR_HUMAN	ADORA2A
C1QR1_HUMAN	CD93
YES_HUMAN	YES1
S10A1_HUMAN	S100A1
HV330_HUMAN	IGHV3-30
E9PGN7_HUMAN	SERPING1
CR1L_HUMAN	CR1L
VAMP7_HUMAN	VAMP7
ADA17_HUMAN	ADAM17
ARPC2_HUMAN	ARPC2
ABI1_HUMAN	ABI1
TM9S4_HUMAN	TM9SF4
PGRP3_HUMAN	PGLYRP3
ARC1A_HUMAN	ARPC1A
IGLC1_HUMAN	IGLC1
KLKB1_HUMAN	KLKB1
PLCG2_HUMAN	PLCG2
FCN1_HUMAN	FCN1
CBPB2_HUMAN	CPB2
KV117_HUMAN	IGKV1-17
TRIL_HUMAN	TRIL
IGLL1_HUMAN	IGLL1
CR1_HUMAN	CR1
RFTN1_HUMAN	RFTN1
IGLC7_HUMAN	IGLC7
ICAM3_HUMAN	ICAM3
DYN2_HUMAN	DNM2
LV321_HUMAN	IGLV3-21
B4DNJ1_HUMAN	PLAT
GAS6_HUMAN	GAS6
A2MG_HUMAN	A2M
COR1A_HUMAN	CORO1A
TLR2_HUMAN	TLR2
PK3CA_HUMAN	PIK3CA
GRB2_HUMAN	GRB2
RAB5A_HUMAN	RAB5A
TNFL8_HUMAN	TNFSF8
MARCO_HUMAN	MARCO
UBB_HUMAN	UBB
CD14_HUMAN	CD14
KV401_HUMAN	IGKV4-1
RAB34_HUMAN	RAB34
CO5_HUMAN	C5
CD3G_HUMAN	CD3G
TLR3_HUMAN	TLR3
AGRB1_HUMAN	ADGRB1
SRCRL_HUMAN	SSC5D
HAVR2_HUMAN	HAVCR2
DAF_HUMAN	CD55
ANGI_HUMAN	ANG
IGHD_HUMAN	IGHD
TXND5_HUMAN	TXNDC5
TRFL_HUMAN	LTF
KV320_HUMAN	IGKV3-20
KV228_HUMAN	IGKV2-28
C1QA_HUMAN	C1QA
TLR1_HUMAN	TLR1
REG3G_HUMAN	REG3G
WASP_HUMAN	WAS
E7ET40_HUMAN	PLAU
FCAR_HUMAN	FCAR
LALBA_HUMAN	LALBA
LV223_HUMAN	IGLV2-23
CFAI_HUMAN	CFI
ARPC3_HUMAN	ARPC3
CD3Z_HUMAN	CD247
CO9_HUMAN	C9
MYH9_HUMAN	MYH9
HV309_HUMAN	IGHV3-9
CD19_HUMAN	CD19
LV140_HUMAN	IGLV1-40
LRP1_HUMAN	LRP1
KV116_HUMAN	IGKV1-16
LV657_HUMAN	IGLV6-57
CATB_HUMAN	CTSB
FHR2_HUMAN	CFHR2
MERTK_HUMAN	MERTK
CDC42_HUMAN	CDC42
KV311_HUMAN	IGKV3-11
SFTPD_HUMAN	SFTPD
CD36_HUMAN	CD36
FCG3A_HUMAN	FCGR3A
UN13D_HUMAN	UNC13D
FHR5_HUMAN	CFHR5
DEF3_HUMAN	DEFA3
H2BFS_HUMAN	H2BFS
LYZL5_HUMAN	SPACA5
LYZL5_HUMAN	SPACA5B
CO8B_HUMAN	C8B
LYN_HUMAN	LYN
ARPC4_HUMAN	ARPC4
FCN3_HUMAN	FCN3
LV319_HUMAN	IGLV3-19
MCP_HUMAN	CD46
CFAH_HUMAN	CFH
TNFA_HUMAN	TNF
A4_HUMAN	APP
UB2D2_HUMAN	UBE2D2
B2MG_HUMAN	B2M
TAB3_HUMAN	TAB3
KV112_HUMAN	IGKV1-12
IL6RA_HUMAN	IL6R
IGLC2_HUMAN	IGLC2
MASP1_HUMAN	MASP1
ABCA7_HUMAN	ABCA7
CRK_HUMAN	CRK
LYZL4_HUMAN	LYZL4
IGLC6_HUMAN	IGLC6
LV325_HUMAN	IGLV3-25
PROS_HUMAN	PROS1
HV348_HUMAN	IGHV3-48
RAC3_HUMAN	RAC3
C1S_HUMAN	C1S
LV301_HUMAN	IGLV3-1
DEF1_HUMAN	DEFA1
DEF1_HUMAN	DEFA1B
