Pathogen_Protein	Human_Protein
ENO_STRP2	LYSC_HUMAN
ENO_STRP2	H2B2E_HUMAN
ENO_STRP2	H2B1C_HUMAN
ENO_STRP2	DEF3_HUMAN
ENO_STRP2	RNAS7_HUMAN
ENO_STRP2	RNAS6_HUMAN
ENO_STRP2	ANGI_HUMAN
ENO_STRP2	ECP_HUMAN
ENO_STRP2	PGRP3_HUMAN
ENO_STRP2	H2B1J_HUMAN
ENO_STRP2	H2BFS_HUMAN
ENO_STRP2	H2B1K_HUMAN
ENO_STRP2	DEF6_HUMAN
ENO_STRP2	DEF4_HUMAN
ENO_STRP2	TNR14_HUMAN
ENO_STRP2	EPHA2_HUMAN
ENO_STRP2	LALBA_HUMAN
ENO_STRP2	I27RA_HUMAN
ENO_STRP2	PGRP4_HUMAN
ENO_STRP2	TNFB_HUMAN
ENO_STRP2	K2C6A_HUMAN
ENO_STRP2	TNFL8_HUMAN
ENO_STRP2	LYZL6_HUMAN
ENO_STRP2	RNAS8_HUMAN
ENO_STRP2	LYZL4_HUMAN
ENO_STRP2	LYZL2_HUMAN
ENO_STRP2	LYZL1_HUMAN
ENO_STRP2	LYZL5_HUMAN
TACY_STRP2	FCG2B_HUMAN
TACY_STRP2	FCERG_HUMAN
TACY_STRP2	CLUS_HUMAN
TACY_STRP2	VTNC_HUMAN
TACY_STRP2	A2MG_HUMAN
TACY_STRP2	CBPB2_HUMAN
TACY_STRP2	CD19_HUMAN
TACY_STRP2	CO3_HUMAN
TACY_STRP2	CO5_HUMAN
TACY_STRP2	CO9_HUMAN
TACY_STRP2	DAF_HUMAN
TACY_STRP2	CFAI_HUMAN
TACY_STRP2	CBPN_HUMAN
TACY_STRP2	CO4A_HUMAN
TACY_STRP2	CO4B_HUMAN
TACY_STRP2	CO8A_HUMAN
TACY_STRP2	CO8B_HUMAN
TACY_STRP2	C1QC_HUMAN
TACY_STRP2	C1R_HUMAN
TACY_STRP2	IGLC2_HUMAN
TACY_STRP2	IGKC_HUMAN
TACY_STRP2	MCP_HUMAN
TACY_STRP2	IGLC3_HUMAN
TACY_STRP2	CO6_HUMAN
TACY_STRP2	CO7_HUMAN
TACY_STRP2	CD5L_HUMAN
TACY_STRP2	C1QB_HUMAN
TACY_STRP2	C1S_HUMAN
TACY_STRP2	C4BPB_HUMAN
TACY_STRP2	C1QA_HUMAN
TACY_STRP2	C4BPA_HUMAN
TACY_STRP2	FHR1_HUMAN
TACY_STRP2	PROP_HUMAN
TACY_STRP2	MASP1_HUMAN
TACY_STRP2	CPN2_HUMAN
TACY_STRP2	FHR5_HUMAN
TACY_STRP2	PHB_HUMAN
TACY_STRP2	FHR2_HUMAN
TACY_STRP2	CO8G_HUMAN
TACY_STRP2	CR1L_HUMAN
TACY_STRP2	FHR4_HUMAN
TACY_STRP2	SUSD4_HUMAN
TACY_STRP2	TSP1_HUMAN
TACY_STRP2	ITAV_HUMAN
TACY_STRP2	AGRB1_HUMAN
TACY_STRP2	ITB3_HUMAN
TACY_STRP2	CD47_HUMAN
TACY_STRP2	ITB2_HUMAN
TACY_STRP2	NRAM1_HUMAN
TACY_STRP2	TM9S4_HUMAN
TACY_STRP2	ITB1_HUMAN
TACY_STRP2	MFGM_HUMAN
TACY_STRP2	AA2AR_HUMAN
TACY_STRP2	ABCA7_HUMAN
TACY_STRP2	AA1R_HUMAN
TACY_STRP2	FCN1_HUMAN
TACY_STRP2	ITAM_HUMAN
TACY_STRP2	P2RX7_HUMAN
TACY_STRP2	LRP1_HUMAN
TACY_STRP2	PECA1_HUMAN
TACY_STRP2	PRTN3_HUMAN
TACY_STRP2	PTX3_HUMAN
TACY_STRP2	ITAL_HUMAN
TACY_STRP2	CD14_HUMAN
TACY_STRP2	ABCA1_HUMAN
TACY_STRP2	ICAM3_HUMAN
TACY_STRP2	SCRB1_HUMAN
TACY_STRP2	LDLR_HUMAN
TACY_STRP2	LEPR_HUMAN
TACY_STRP2	GELS_HUMAN
TACY_STRP2	TLR4_HUMAN
TACY_STRP2	TGM2_HUMAN
TACY_STRP2	ABI1_HUMAN
TACY_STRP2	CRP_HUMAN
TACY_STRP2	FAK1_HUMAN
TACY_STRP2	FCN2_HUMAN
TACY_STRP2	CYFP1_HUMAN
TACY_STRP2	CD36_HUMAN
TACY_STRP2	ICAM5_HUMAN
TACY_STRP2	GRB2_HUMAN
TACY_STRP2	FCG3A_HUMAN
TACY_STRP2	RAB7A_HUMAN
TACY_STRP2	UN13D_HUMAN
TACY_STRP2	CD3G_HUMAN
TACY_STRP2	CYFP2_HUMAN
TACY_STRP2	ARPC3_HUMAN
TACY_STRP2	ARPC2_HUMAN
TACY_STRP2	ARPC4_HUMAN
TACY_STRP2	DYN2_HUMAN
TACY_STRP2	CRK_HUMAN
TACY_STRP2	BAIP2_HUMAN
TACY_STRP2	COR1A_HUMAN
TACY_STRP2	CD3Z_HUMAN
TACY_STRP2	FCN3_HUMAN
TACY_STRP2	IGLL1_HUMAN
TACY_STRP2	PLCG2_HUMAN
TACY_STRP2	MYO1G_HUMAN
TACY_STRP2	MYO1C_HUMAN
TACY_STRP2	NCKPL_HUMAN
TACY_STRP2	NCKP1_HUMAN
TACY_STRP2	MYH9_HUMAN
TACY_STRP2	VAMP7_HUMAN
TACY_STRP2	WASF2_HUMAN
TACY_STRP2	WASL_HUMAN
TACY_STRP2	WASP_HUMAN
TACY_STRP2	SYT7_HUMAN
TACY_STRP2	MSRE_HUMAN
TACY_STRP2	KPCE_HUMAN
TACY_STRP2	MARCO_HUMAN
TACY_STRP2	FCG2A_HUMAN
TACY_STRP2	MEG10_HUMAN
TACY_STRP2	PEAR1_HUMAN
TACY_STRP2	TXND5_HUMAN
TACY_STRP2	SRPX_HUMAN
TACY_STRP2	IGLL5_HUMAN
TACY_STRP2	FIBA_HUMAN
TACY_STRP2	FIBB_HUMAN
TACY_STRP2	CATL1_HUMAN
TACY_STRP2	CATB_HUMAN
TACY_STRP2	FIBG_HUMAN
TACY_STRP2	S10A9_HUMAN
TACY_STRP2	S10A8_HUMAN
TACY_STRP2	CATK_HUMAN
TACY_STRP2	CATS_HUMAN
TACY_STRP2	TLR2_HUMAN
TACY_STRP2	TRIL_HUMAN
TACY_STRP2	RL40_HUMAN
TACY_STRP2	TLR9_HUMAN
TACY_STRP2	TLR1_HUMAN
TACY_STRP2	TLR6_HUMAN
TACY_STRP2	UBB_HUMAN
TACY_STRP2	TLR3_HUMAN
TACY_STRP2	RS27A_HUMAN
TACY_STRP2	UBC_HUMAN
TACY_STRP2	TLR10_HUMAN
TACY_STRP2	TLR5_HUMAN
TACY_STRP2	TLR7_HUMAN
TACY_STRP2	TLR8_HUMAN
TACY_STRP2	UB2D2_HUMAN
TACY_STRP2	KS6A3_HUMAN
TACY_STRP2	UB2D3_HUMAN
TACY_STRP2	RFTN1_HUMAN
TACY_STRP2	S10AE_HUMAN
TACY_STRP2	TRAF6_HUMAN
TACY_STRP2	TAB3_HUMAN
TACY_STRP2	S10A1_HUMAN
TACY_STRP2	MAPK2_HUMAN
TACY_STRP2	LRC19_HUMAN
TACY_STRP2	APOH_HUMAN
TACY_STRP2	FA11_HUMAN
TACY_STRP2	PGK1_HUMAN
TACY_STRP2	E5RHG4_HUMAN
TACY_STRP2	E5RGA1_HUMAN
TACY_STRP2	A4_HUMAN
TACY_STRP2	CATG_HUMAN
TACY_STRP2	TNFA_HUMAN
TACY_STRP2	DMBT1_HUMAN
TACY_STRP2	IL6RA_HUMAN
TACY_STRP2	NLRP3_HUMAN
TACY_STRP2	GSDMD_HUMAN
TACY_STRP2	SRCRL_HUMAN
TACY_STRP2	DEF1_HUMAN
TACY_STRP2	ADA17_HUMAN
TACY_STRP2	HLAE_HUMAN
TACY_STRP2	TRFL_HUMAN
TACY_STRP2	B2MG_HUMAN
TACY_STRP2	DEF5_HUMAN
TACY_STRP2	PGRP2_HUMAN
TACY_STRP2	PGRP1_HUMAN
TACY_STRP2	SACA3_HUMAN
TACY_STRP2	LYSC_HUMAN
TACY_STRP2	H2B2E_HUMAN
TACY_STRP2	H2B1C_HUMAN
TACY_STRP2	DEF3_HUMAN
TACY_STRP2	RNAS7_HUMAN
TACY_STRP2	RNAS6_HUMAN
TACY_STRP2	ANGI_HUMAN
TACY_STRP2	ECP_HUMAN
TACY_STRP2	PGRP3_HUMAN
TACY_STRP2	H2B1J_HUMAN
TACY_STRP2	H2BFS_HUMAN
TACY_STRP2	H2B1K_HUMAN
TACY_STRP2	DEF6_HUMAN
TACY_STRP2	DEF4_HUMAN
TACY_STRP2	TNR14_HUMAN
TACY_STRP2	LALBA_HUMAN
TACY_STRP2	I27RA_HUMAN
TACY_STRP2	PGRP4_HUMAN
TACY_STRP2	TNFB_HUMAN
TACY_STRP2	K2C6A_HUMAN
TACY_STRP2	TNFL8_HUMAN
TACY_STRP2	LYZL6_HUMAN
TACY_STRP2	RNAS8_HUMAN
TACY_STRP2	LYZL4_HUMAN
TACY_STRP2	LYZL2_HUMAN
TACY_STRP2	LYZL1_HUMAN
TACY_STRP2	LYZL5_HUMAN
A0A0H2ZL64_STRP2	FCAR_HUMAN
A0A0H2ZL64_STRP2	FCG2B_HUMAN
A0A0H2ZL64_STRP2	FCERG_HUMAN
A0A0H2ZL64_STRP2	FCGRB_HUMAN
A0A0H2ZL64_STRP2	CLUS_HUMAN
A0A0H2ZL64_STRP2	VTNC_HUMAN
A0A0H2ZL64_STRP2	CD81_HUMAN
A0A0H2ZL64_STRP2	A2MG_HUMAN
A0A0H2ZL64_STRP2	CBPB2_HUMAN
A0A0H2ZL64_STRP2	CD19_HUMAN
A0A0H2ZL64_STRP2	CO2_HUMAN
A0A0H2ZL64_STRP2	CO3_HUMAN
A0A0H2ZL64_STRP2	CO5_HUMAN
A0A0H2ZL64_STRP2	CO9_HUMAN
A0A0H2ZL64_STRP2	DAF_HUMAN
A0A0H2ZL64_STRP2	CFAI_HUMAN
A0A0H2ZL64_STRP2	CFAH_HUMAN
A0A0H2ZL64_STRP2	CBPN_HUMAN
A0A0H2ZL64_STRP2	CO4A_HUMAN
A0A0H2ZL64_STRP2	CO4B_HUMAN
A0A0H2ZL64_STRP2	CO8A_HUMAN
A0A0H2ZL64_STRP2	CO8B_HUMAN
A0A0H2ZL64_STRP2	CFAB_HUMAN
A0A0H2ZL64_STRP2	C1QC_HUMAN
A0A0H2ZL64_STRP2	C1R_HUMAN
A0A0H2ZL64_STRP2	CR2_HUMAN
A0A0H2ZL64_STRP2	KVD12_HUMAN
A0A0H2ZL64_STRP2	IGLC2_HUMAN
A0A0H2ZL64_STRP2	IGKC_HUMAN
A0A0H2ZL64_STRP2	MCP_HUMAN
A0A0H2ZL64_STRP2	IGLC1_HUMAN
A0A0H2ZL64_STRP2	IGLC3_HUMAN
A0A0H2ZL64_STRP2	KV105_HUMAN
A0A0H2ZL64_STRP2	KV139_HUMAN
A0A0H2ZL64_STRP2	KV117_HUMAN
A0A0H2ZL64_STRP2	KVD33_HUMAN
A0A0H2ZL64_STRP2	LV321_HUMAN
A0A0H2ZL64_STRP2	CO6_HUMAN
A0A0H2ZL64_STRP2	CO7_HUMAN
A0A0H2ZL64_STRP2	CD5L_HUMAN
A0A0H2ZL64_STRP2	C1QB_HUMAN
A0A0H2ZL64_STRP2	C1S_HUMAN
A0A0H2ZL64_STRP2	C4BPB_HUMAN
A0A0H2ZL64_STRP2	C1QA_HUMAN
A0A0H2ZL64_STRP2	C4BPA_HUMAN
A0A0H2ZL64_STRP2	CR1_HUMAN
A0A0H2ZL64_STRP2	KV315_HUMAN
A0A0H2ZL64_STRP2	FHR1_HUMAN
A0A0H2ZL64_STRP2	IGLC6_HUMAN
A0A0H2ZL64_STRP2	PROP_HUMAN
A0A0H2ZL64_STRP2	LV301_HUMAN
A0A0H2ZL64_STRP2	MASP1_HUMAN
A0A0H2ZL64_STRP2	KV116_HUMAN
A0A0H2ZL64_STRP2	KV133_HUMAN
A0A0H2ZL64_STRP2	LV325_HUMAN
A0A0H2ZL64_STRP2	CPN2_HUMAN
A0A0H2ZL64_STRP2	KVD16_HUMAN
A0A0H2ZL64_STRP2	FHR5_HUMAN
A0A0H2ZL64_STRP2	PHB_HUMAN
A0A0H2ZL64_STRP2	IGLC7_HUMAN
A0A0H2ZL64_STRP2	FHR2_HUMAN
A0A0H2ZL64_STRP2	KVD39_HUMAN
A0A0H2ZL64_STRP2	CO8G_HUMAN
A0A0H2ZL64_STRP2	CR1L_HUMAN
A0A0H2ZL64_STRP2	FHR4_HUMAN
A0A0H2ZL64_STRP2	KV112_HUMAN
A0A0H2ZL64_STRP2	SUSD4_HUMAN
A0A0H2ZL64_STRP2	TSP1_HUMAN
A0A0H2ZL64_STRP2	ITAV_HUMAN
A0A0H2ZL64_STRP2	AGRB1_HUMAN
A0A0H2ZL64_STRP2	ITB3_HUMAN
A0A0H2ZL64_STRP2	CD47_HUMAN
A0A0H2ZL64_STRP2	ITB2_HUMAN
A0A0H2ZL64_STRP2	ELNE_HUMAN
A0A0H2ZL64_STRP2	NRAM1_HUMAN
A0A0H2ZL64_STRP2	TM9S4_HUMAN
A0A0H2ZL64_STRP2	ITB1_HUMAN
A0A0H2ZL64_STRP2	MFGM_HUMAN
A0A0H2ZL64_STRP2	AA2AR_HUMAN
A0A0H2ZL64_STRP2	ABCA7_HUMAN
A0A0H2ZL64_STRP2	AA1R_HUMAN
A0A0H2ZL64_STRP2	FCN1_HUMAN
A0A0H2ZL64_STRP2	ITAM_HUMAN
A0A0H2ZL64_STRP2	P2RX7_HUMAN
A0A0H2ZL64_STRP2	LRP1_HUMAN
A0A0H2ZL64_STRP2	PECA1_HUMAN
A0A0H2ZL64_STRP2	PRTN3_HUMAN
A0A0H2ZL64_STRP2	PTX3_HUMAN
A0A0H2ZL64_STRP2	ITAL_HUMAN
A0A0H2ZL64_STRP2	MERTK_HUMAN
A0A0H2ZL64_STRP2	CD14_HUMAN
A0A0H2ZL64_STRP2	ABCA1_HUMAN
A0A0H2ZL64_STRP2	ACTG_HUMAN
A0A0H2ZL64_STRP2	ACTB_HUMAN
A0A0H2ZL64_STRP2	ICAM3_HUMAN
A0A0H2ZL64_STRP2	SCRB1_HUMAN
A0A0H2ZL64_STRP2	LDLR_HUMAN
A0A0H2ZL64_STRP2	LEPR_HUMAN
A0A0H2ZL64_STRP2	FGR_HUMAN
A0A0H2ZL64_STRP2	GELS_HUMAN
A0A0H2ZL64_STRP2	TLR4_HUMAN
A0A0H2ZL64_STRP2	SRC_HUMAN
A0A0H2ZL64_STRP2	TGM2_HUMAN
A0A0H2ZL64_STRP2	ABI1_HUMAN
A0A0H2ZL64_STRP2	ARP2_HUMAN
A0A0H2ZL64_STRP2	ABL1_HUMAN
A0A0H2ZL64_STRP2	CRP_HUMAN
A0A0H2ZL64_STRP2	FAK1_HUMAN
A0A0H2ZL64_STRP2	FCN2_HUMAN
A0A0H2ZL64_STRP2	CYFP1_HUMAN
A0A0H2ZL64_STRP2	CD36_HUMAN
A0A0H2ZL64_STRP2	PK3CA_HUMAN
A0A0H2ZL64_STRP2	ICAM5_HUMAN
A0A0H2ZL64_STRP2	KPCD_HUMAN
A0A0H2ZL64_STRP2	LYN_HUMAN
A0A0H2ZL64_STRP2	GRB2_HUMAN
A0A0H2ZL64_STRP2	FCG3A_HUMAN
A0A0H2ZL64_STRP2	RAB34_HUMAN
A0A0H2ZL64_STRP2	RAB7A_HUMAN
A0A0H2ZL64_STRP2	UN13D_HUMAN
A0A0H2ZL64_STRP2	YES_HUMAN
A0A0H2ZL64_STRP2	CD3G_HUMAN
A0A0H2ZL64_STRP2	BIN2_HUMAN
A0A0H2ZL64_STRP2	3BP1_HUMAN
A0A0H2ZL64_STRP2	CYFP2_HUMAN
A0A0H2ZL64_STRP2	ARPC3_HUMAN
A0A0H2ZL64_STRP2	ARPC2_HUMAN
A0A0H2ZL64_STRP2	ARPC4_HUMAN
A0A0H2ZL64_STRP2	C1QR1_HUMAN
A0A0H2ZL64_STRP2	ARC1B_HUMAN
A0A0H2ZL64_STRP2	DYN2_HUMAN
A0A0H2ZL64_STRP2	CRK_HUMAN
A0A0H2ZL64_STRP2	BAIP2_HUMAN
A0A0H2ZL64_STRP2	COR1A_HUMAN
A0A0H2ZL64_STRP2	CD3Z_HUMAN
A0A0H2ZL64_STRP2	FCN3_HUMAN
A0A0H2ZL64_STRP2	IGLL1_HUMAN
A0A0H2ZL64_STRP2	IGHD_HUMAN
A0A0H2ZL64_STRP2	PLCG2_HUMAN
A0A0H2ZL64_STRP2	MYO1G_HUMAN
A0A0H2ZL64_STRP2	MYO1C_HUMAN
A0A0H2ZL64_STRP2	NCKPL_HUMAN
A0A0H2ZL64_STRP2	NCKP1_HUMAN
A0A0H2ZL64_STRP2	PLPL9_HUMAN
A0A0H2ZL64_STRP2	MYH9_HUMAN
A0A0H2ZL64_STRP2	VAMP7_HUMAN
A0A0H2ZL64_STRP2	WASF2_HUMAN
A0A0H2ZL64_STRP2	WASL_HUMAN
A0A0H2ZL64_STRP2	WASP_HUMAN
A0A0H2ZL64_STRP2	SYT7_HUMAN
A0A0H2ZL64_STRP2	MSRE_HUMAN
A0A0H2ZL64_STRP2	KPCE_HUMAN
A0A0H2ZL64_STRP2	MARCO_HUMAN
A0A0H2ZL64_STRP2	FCG2A_HUMAN
A0A0H2ZL64_STRP2	MEG10_HUMAN
A0A0H2ZL64_STRP2	PEAR1_HUMAN
A0A0H2ZL64_STRP2	TXND5_HUMAN
A0A0H2ZL64_STRP2	SRPX_HUMAN
A0A0H2ZL64_STRP2	ARC1A_HUMAN
A0A0H2ZL64_STRP2	IGLL5_HUMAN
A0A0H2ZL64_STRP2	FIBA_HUMAN
A0A0H2ZL64_STRP2	FIBB_HUMAN
A0A0H2ZL64_STRP2	CATL1_HUMAN
A0A0H2ZL64_STRP2	CATB_HUMAN
A0A0H2ZL64_STRP2	FIBG_HUMAN
A0A0H2ZL64_STRP2	S10A9_HUMAN
A0A0H2ZL64_STRP2	S10A8_HUMAN
A0A0H2ZL64_STRP2	CATK_HUMAN
A0A0H2ZL64_STRP2	CATS_HUMAN
A0A0H2ZL64_STRP2	TLR2_HUMAN
A0A0H2ZL64_STRP2	TRIL_HUMAN
A0A0H2ZL64_STRP2	RL40_HUMAN
A0A0H2ZL64_STRP2	TLR9_HUMAN
A0A0H2ZL64_STRP2	TLR1_HUMAN
A0A0H2ZL64_STRP2	TLR6_HUMAN
A0A0H2ZL64_STRP2	CH60_HUMAN
A0A0H2ZL64_STRP2	UBB_HUMAN
A0A0H2ZL64_STRP2	TLR3_HUMAN
A0A0H2ZL64_STRP2	RS27A_HUMAN
A0A0H2ZL64_STRP2	UBC_HUMAN
A0A0H2ZL64_STRP2	TLR10_HUMAN
A0A0H2ZL64_STRP2	TLR5_HUMAN
A0A0H2ZL64_STRP2	TLR7_HUMAN
A0A0H2ZL64_STRP2	TLR8_HUMAN
A0A0H2ZL64_STRP2	UB2D2_HUMAN
A0A0H2ZL64_STRP2	KS6A3_HUMAN
A0A0H2ZL64_STRP2	UB2D3_HUMAN
A0A0H2ZL64_STRP2	RFTN1_HUMAN
A0A0H2ZL64_STRP2	S10AE_HUMAN
A0A0H2ZL64_STRP2	TRAF6_HUMAN
A0A0H2ZL64_STRP2	TAB3_HUMAN
A0A0H2ZL64_STRP2	S10A1_HUMAN
A0A0H2ZL64_STRP2	MAPK2_HUMAN
A0A0H2ZL64_STRP2	LRC19_HUMAN
A0A0H2ZL64_STRP2	TPA_HUMAN
A0A0H2ZL64_STRP2	APOH_HUMAN
A0A0H2ZL64_STRP2	KLKB1_HUMAN
A0A0H2ZL64_STRP2	FA11_HUMAN
A0A0H2ZL64_STRP2	UROK_HUMAN
A0A0H2ZL64_STRP2	PGK1_HUMAN
A0A0H2ZL64_STRP2	E7ESF4_HUMAN
A0A0H2ZL64_STRP2	B4DN26_HUMAN
A0A0H2ZL64_STRP2	B4DNJ1_HUMAN
A0A0H2ZL64_STRP2	E7ET40_HUMAN
A0A0H2ZL64_STRP2	E5RHG4_HUMAN
A0A0H2ZL64_STRP2	E5RGA1_HUMAN
A0A0H2ZL64_STRP2	A4_HUMAN
A0A0H2ZL64_STRP2	CATG_HUMAN
A0A0H2ZL64_STRP2	TNFA_HUMAN
A0A0H2ZL64_STRP2	DMBT1_HUMAN
A0A0H2ZL64_STRP2	IL6RA_HUMAN
A0A0H2ZL64_STRP2	NLRP3_HUMAN
A0A0H2ZL64_STRP2	GSDMD_HUMAN
A0A0H2ZL64_STRP2	SRCRL_HUMAN
A0A0H2ZL64_STRP2	DEF1_HUMAN
